# nr pierscienia, outer, inner, height
1, 302, 67, 5
2, 404, 163, 11
3, 391, 181, 8
4, 30, 2, 15
5, 486, 453, 12
6, 262, 142, 8
7, 57, 35, 11
8, 273, 210, 3
9, 356, 157, 4
10, 79, 31, 2
11, 182, 162, 12
12, 388, 197, 19
13, 30, 23, 7
14, 243, 214, 18
15, 157, 81, 17
16, 117, 73, 19
17, 378, 46, 2
18, 229, 2, 16
19, 184, 115, 16
20, 234, 77, 6
21, 31, 26, 16
22, 34, 27, 3
23, 417, 8, 4
24, 398, 50, 13
25, 210, 95, 5
26, 365, 281, 18
27, 200, 104, 13
28, 264, 20, 2
29, 297, 48, 11
30, 210, 45, 8
31, 243, 33, 5
32, 277, 180, 4
33, 350, 192, 7
34, 175, 98, 15
35, 367, 118, 14
36, 180, 157, 8
37, 458, 213, 9
38, 309, 21, 20
39, 481, 202, 7
40, 270, 130, 5
41, 123, 65, 8
42, 381, 116, 9
43, 336, 151, 19
44, 35, 20, 16
45, 397, 368, 4
46, 488, 185, 11
47, 276, 143, 17
48, 30, 5, 8
49, 367, 78, 10
50, 482, 124, 19
51, 36, 19, 4
52, 489, 157, 15
53, 267, 37, 6
54, 381, 336, 17
55, 459, 272, 2
56, 210, 5, 10
57, 437, 395, 18
58, 138, 18, 13
59, 127, 18, 8
60, 219, 95, 3
61, 484, 168, 11
62, 283, 10, 10
63, 114, 58, 11
64, 440, 105, 4
65, 73, 21, 20
66, 287, 151, 20
67, 479, 218, 10
68, 373, 372, 19
69, 386, 39, 7
70, 260, 191, 2
71, 410, 96, 13
72, 392, 77, 1
73, 493, 247, 19
74, 341, 79, 5
75, 272, 167, 19
76, 463, 444, 8
77, 13, 7, 5
78, 317, 303, 1
79, 11, 10, 10
80, 317, 259, 2
81, 39, 6, 7
82, 339, 325, 10
83, 16, 8, 2
84, 386, 230, 4
85, 187, 52, 15
86, 64, 14, 10
87, 161, 3, 8
88, 493, 204, 8
89, 205, 170, 6
90, 120, 112, 14
91, 144, 79, 8
92, 313, 214, 15
93, 429, 126, 12
94, 367, 238, 15
95, 170, 29, 14
96, 169, 98, 19
97, 395, 338, 4
98, 459, 368, 12
99, 84, 54, 19
100, 491, 273, 9
101, 434, 348, 1
102, 161, 98, 17
103, 479, 378, 18
104, 253, 34, 7
105, 179, 110, 20
106, 297, 37, 19
107, 251, 17, 7
108, 249, 88, 17
109, 391, 377, 10
110, 207, 194, 11
111, 69, 6, 20
112, 496, 284, 6
113, 28, 15, 6
114, 468, 222, 17
115, 495, 8, 4
116, 453, 349, 6
117, 438, 120, 19
118, 371, 29, 7
119, 320, 191, 7
120, 299, 232, 10
121, 462, 0, 3
122, 485, 0, 6
123, 225, 0, 10
124, 420, 0, 20
125, 500, 0, 15
126, 497, 0, 17
127, 237, 0, 19
128, 381, 0, 5
129, 231, 0, 16
130, 270, 0, 1
131, 432, 0, 12
132, 422, 0, 14
133, 105, 0, 1
134, 437, 0, 18
135, 467, 0, 18
136, 419, 0, 16
137, 205, 0, 4
138, 390, 0, 17
139, 494, 0, 3
140, 377, 0, 8
141, 220, 0, 18
142, 423, 0, 1
143, 104, 0, 4
144, 393, 0, 6
145, 461, 0, 17
146, 78, 0, 19
147, 500, 0, 13
148, 395, 0, 16
149, 475, 0, 1
150, 480, 0, 3
